plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld
1 3 0 FI 502.300 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 5.580 6.000 2.660 3.000 3.022 3.000 103000 0 False 6 7.200 0 0.000 1 103001
1 4 0 FI 669.800 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 0 0 3.855 4.000 1.899 2.000 2.015 2.000 104000 0 True 6 7.200 0 0.000 1 104001
1 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 0 0 2.975 4.000 1.165 1.000 1.147 1.000 105000 1 False 3 3.600 0 0.000 0 105000
1 6 0 FM 1004.600 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 0 0 2.248 3.000 0.884 1.000 0.860 1.000 106000 1 True 3 3.600 0 0.000 0 106000
1 7 0 FM 1172.100 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 0 0 1.838 2.000 0.736 1.000 0.719 1.000 107000 1 False 3 3.600 0 0.000 0 107000
1 8 0 FO 1339.500 0.000 0 6 1339.500 -96.700 1423.200 -48.300 1423.200 48.300 1339.500 96.700 1255.800 48.300 1255.800 -48.300 1339.500 -96.700 0 0 1.902 2.000 0.639 1.000 0.639 1.000 108000 1 False 3 3.600 0 0.000 0 108000
1 3 1 FI 418.600 145.000 1 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 0 6.534 7.000 3.088 3.000 3.665 3.000 103010 4 False 6 7.200 1 19.106 1 103011
1 4 1 FI 586.000 145.000 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 0 0 4.454 5.000 2.187 2.000 2.319 2.000 104010 2 False 6 7.200 0 13.898 1 104011
1 5 1 FI 753.500 145.000 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 0 0 3.322 4.000 1.720 2.000 1.708 2.000 105010 2 True 6 7.200 0 10.893 1 105011
1 6 1 FM 920.900 145.000 0 6 920.900 48.300 1004.600 96.700 1004.600 193.300 920.900 241.700 837.200 193.300 837.200 96.700 920.900 48.300 0 0 2.568 3.000 0.988 1.000 0.972 1.000 106010 3 False 3 3.600 0 8.948 0 106010
1 7 1 FM 1088.400 145.000 0 6 1088.400 48.300 1172.100 96.700 1172.100 193.300 1088.400 241.700 1004.600 193.300 1004.600 96.700 1088.400 48.300 0 0 2.006 3.000 0.797 1.000 0.775 1.000 107010 3 True 3 3.600 0 7.588 0 107010
1 8 1 FO 1255.800 145.000 0 6 1255.800 48.300 1339.500 96.700 1339.500 193.300 1255.800 241.700 1172.100 193.300 1172.100 96.700 1255.800 48.300 0 0 1.774 2.000 0.647 1.000 0.637 1.000 108010 3 False 3 3.600 0 6.586 0 108010
1 9 1 FOe 1423.200 145.000 0 6 1423.200 48.300 1507.000 96.700 1507.000 193.300 1423.200 241.700 1339.500 193.300 1339.500 96.700 1423.200 48.300 0 0 1.382 2.000 0.522 1.000 0.521 1.000 109010 3 False 3 3.600 0 5.817 0 109010
1 3 2 FI 334.900 290.000 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 0 0 6.520 7.000 3.089 3.000 3.657 3.000 103020 5 False 6 7.200 1 40.890 1 103021
1 4 2 FI 502.300 290.000 1 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 0 0 4.698 5.000 2.283 2.000 2.452 2.000 104020 4 False 6 7.200 1 30.000 1 104021
1 5 2 FI 669.800 290.000 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 0 0 3.386 4.000 1.720 2.000 1.776 2.000 105020 2 False 6 7.200 0 23.411 1 105021
1 6 2 FM 837.200 290.000 0 6 837.200 193.300 920.900 241.700 920.900 338.400 837.200 386.700 753.500 338.400 753.500 241.700 837.200 193.300 0 0 2.787 3.000 1.070 1.000 1.055 1.000 106020 6 False 3 3.600 0 19.106 0 106020
1 7 2 FM 1004.600 290.000 0 6 1004.600 193.300 1088.400 241.700 1088.400 338.400 1004.600 386.700 920.900 338.400 920.900 241.700 1004.600 193.300 0 0 2.126 3.000 0.838 1.000 0.814 1.000 107020 6 True 3 3.600 0 16.102 0 107020
1 8 2 FM 1172.100 290.000 0 6 1172.100 193.300 1255.800 241.700 1255.800 338.400 1172.100 386.700 1088.400 338.400 1088.400 241.700 1172.100 193.300 0 0 1.833 2.000 0.678 1.000 0.665 1.000 108020 6 False 3 3.600 0 13.897 0 108020
1 9 2 FO 1339.500 290.000 0 6 1339.500 193.300 1423.200 241.700 1423.200 338.400 1339.500 386.700 1255.800 338.400 1255.800 241.700 1339.500 193.300 0 0 1.811 2.000 0.617 1.000 0.617 1.000 109020 6 False 3 3.600 0 12.216 0 109020
1 4 3 FI 418.600 435.000 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 0 0 4.498 5.000 2.183 2.000 2.313 2.000 104030 5 True 6 7.200 1 46.101 1 104031
1 5 3 FI 586.000 435.000 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 0 0 3.389 4.000 1.709 2.000 1.764 2.000 105030 4 True 6 7.200 1 36.587 1 105031
1 6 3 FM 753.500 435.000 1 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 0 0 2.862 3.000 1.105 2.000 1.088 1.000 106030 9 False 3 3.600 1 29.998 0 106030
1 7 3 FM 920.900 435.000 0 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 0 0 2.229 3.000 0.868 1.000 0.847 1.000 107030 7 False 3 3.600 0 25.284 0 107030
1 8 3 FM 1088.400 435.000 0 6 1088.400 338.400 1172.100 386.700 1172.100 483.400 1088.400 531.700 1004.600 483.400 1004.600 386.700 1088.400 338.400 0 0 1.837 2.000 0.744 1.000 0.724 1.000 108030 7 True 3 3.600 0 21.785 0 108030
1 9 3 FO 1255.800 435.000 0 6 1255.800 338.400 1339.500 386.700 1339.500 483.400 1255.800 531.700 1172.100 483.400 1172.100 386.700 1255.800 338.400 0 0 1.659 2.000 0.598 1.000 0.593 1.000 109030 7 False 3 3.600 0 19.106 0 109030
1 5 4 FM 502.300 580.000 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 0 0 3.317 4.000 1.338 2.000 1.333 2.000 105040 11 False 3 3.600 1 49.106 0 105040
1 6 4 FM 669.800 580.000 1 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 0 0 2.780 3.000 1.072 1.000 1.054 1.000 106040 10 False 3 3.600 1 40.890 0 106040
