plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld dataPp0 trigPp0 dataPp1 trigPp1
1 1 2 dIe 0.026 290.046 4 5 -83.718 338.396 -83.721 309.991 83.703 309.978 83.705 338.382 0.047 386.682 -83.718 338.396 0.000 0.000 1 1 4.363 5.000 2.587 3.000 2.587 3.000 101020 105 False 3 3.600 3 89.995 1 101021 1030 101030 -55 -33
1 1 3 FI -83.697 435.032 2 6 0.047 386.682 -0.018 483.368 -83.763 531.718 -167.442 483.382 -167.463 386.746 -83.718 338.396 0.047 386.682 1 1 6.520 7.000 3.089 3.000 3.657 3.000 101030 105 False 6 7.200 1 100.890 1 101031 1030 101030 -55 -33
1 1 4 FI -167.421 580.018 2 6 -83.763 531.718 -83.742 628.355 -167.487 676.705 -251.166 628.368 -251.187 531.732 -167.442 483.382 -83.763 531.718 1 1 4.498 5.000 2.183 2.000 2.313 2.000 101040 105 True 6 7.200 1 106.101 1 101041 1030 101030 -55 -33
1 1 5 FM -251.145 725.005 2 6 -167.487 676.705 -167.466 773.341 -251.210 821.691 -334.889 773.355 -334.910 676.718 -251.166 628.368 -167.487 676.705 1 1 3.317 4.000 1.338 2.000 1.333 2.000 101050 111 False 3 3.600 1 109.106 0 101050 1030 101030 -55 -33
1 1 6 FM -334.868 869.991 2 6 -251.210 821.691 -251.139 918.414 -334.884 966.764 -418.613 918.341 -418.634 821.705 -334.889 773.355 -251.210 821.691 1 1 2.595 3.000 0.990 1.000 0.973 1.000 101060 111 True 3 3.600 1 111.052 0 101060 1030 101030 -55 -33
1 1 7 FM -418.542 1015.064 2 6 -334.884 966.764 -334.863 1063.400 -418.608 1111.750 -502.287 1063.414 -502.358 966.691 -418.613 918.341 -334.884 966.764 1 1 2.001 3.000 0.795 1.000 0.773 1.000 101070 111 False 3 3.600 1 112.408 0 101070 1030 101030 -55 -33
1 1 8 FO -502.352 1160.100 2 6 -418.608 1111.750 -418.587 1208.386 -502.331 1256.736 -586.010 1208.400 -586.031 1111.764 -502.287 1063.414 -418.608 1111.750 1 1 1.782 2.000 0.642 1.000 0.633 1.000 101080 111 False 3 3.600 1 113.414 0 101080 1030 101030 -55 -33
1 1 9 bOe -586.076 1305.086 3 5 -586.055 1401.723 -669.755 1256.750 -586.010 1208.400 -502.331 1256.736 -502.310 1353.373 -586.055 1401.723 0.000 0.000 1 1 1.160 2.000 0.466 1.000 0.466 1.000 101090 111 False 3 3.600 2 114.183 0 101090 1030 101030 -55 -33
1 2 0 gIe 334.900 0.000 3 6 334.900 96.700 310.300 82.500 310.300 -82.500 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 0 0 6.754 7.000 4.121 4.000 4.121 4.000 102000 0 False 6 7.200 3 0.000 1 102001 1000 101000 -55 -33
1 2 1 dIe 251.200 145.000 3 5 251.200 241.700 226.600 227.500 310.300 82.500 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 0 1 4.363 5.000 2.587 3.000 2.587 3.000 102010 5 False 3 3.600 3 29.995 1 102011 1010 101010 -55 -33
1 2 2 gIe 167.450 290.032 4 6 83.705 338.382 83.703 309.978 226.597 227.478 251.195 241.682 251.129 338.368 167.471 386.668 83.705 338.382 1 0 6.754 7.000 4.121 4.000 4.121 4.000 102020 100 False 6 7.200 3 60.000 1 102021 1020 101020 -55 -33
1 2 3 FI 83.726 435.018 2 6 167.471 386.668 167.405 483.355 83.747 531.655 -0.018 483.368 0.047 386.682 83.705 338.382 167.471 386.668 1 1 6.534 7.000 3.088 3.000 3.665 3.000 102030 104 False 6 7.200 1 79.106 1 102031 1030 101030 -55 -33
1 2 4 FI 0.003 580.005 2 6 83.747 531.655 83.682 628.341 -0.063 676.691 -83.742 628.355 -83.763 531.718 -0.018 483.368 83.747 531.655 1 1 4.698 5.000 2.283 2.000 2.452 2.000 102040 104 False 6 7.200 1 90.000 1 102041 1030 101030 -55 -33
1 2 5 FI -83.721 724.991 2 6 -0.063 676.691 0.008 773.414 -83.737 821.764 -167.466 773.341 -167.487 676.705 -83.742 628.355 -0.063 676.691 1 1 3.389 4.000 1.709 2.000 1.764 2.000 102050 104 True 6 7.200 1 96.587 1 102051 1030 101030 -55 -33
1 2 6 FM -167.395 870.064 2 6 -83.737 821.764 -83.716 918.400 -167.460 966.750 -251.139 918.414 -251.210 821.691 -167.466 773.341 -83.737 821.764 1 1 2.780 3.000 1.072 1.000 1.054 1.000 102060 110 False 3 3.600 1 100.890 0 102060 1030 101030 -55 -33
1 2 7 FM -251.118 1015.050 2 6 -167.460 966.750 -167.439 1063.386 -251.184 1111.736 -334.863 1063.400 -334.884 966.764 -251.139 918.414 -167.460 966.750 1 1 2.131 3.000 0.840 1.000 0.817 1.000 102070 110 True 3 3.600 1 103.896 0 102070 1030 101030 -55 -33
1 2 8 FM -334.842 1160.036 2 6 -251.184 1111.736 -251.163 1208.373 -334.908 1256.723 -418.587 1208.386 -418.608 1111.750 -334.863 1063.400 -251.184 1111.736 1 1 1.853 2.000 0.678 1.000 0.666 1.000 102080 110 False 3 3.600 1 106.101 0 102080 1030 101030 -55 -33
1 2 9 FO -418.652 1305.073 2 6 -334.908 1256.723 -334.887 1353.359 -418.631 1401.709 -502.310 1353.373 -502.331 1256.736 -418.587 1208.386 -334.908 1256.723 1 1 1.815 2.000 0.619 1.000 0.619 1.000 102090 110 False 3 3.600 1 107.786 0 102090 1030 101030 -55 -33
1 2 10 cOe -502.376 1450.059 1 3 -418.631 1401.709 -586.055 1401.723 -502.310 1353.373 -418.631 1401.709 0.000 0.000 0.000 0.000 0.000 0.000 1 1 0.000 0.000 0.120 0.000 0.120 0.000 102100 110 False 3 3.600 0 109.109 0 102100 1030 101030 -55 -33
1 3 0 FI 502.300 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 5.580 6.000 2.660 3.000 3.022 3.000 103000 0 False 6 7.200 0 0.000 1 103001 1000 101000 -55 -33
1 3 1 FI 418.600 145.000 1 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 1 6.534 7.000 3.088 3.000 3.665 3.000 103010 4 False 6 7.200 1 19.106 1 103011 1010 101010 -55 -33
1 3 2 FI 334.900 290.000 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 0 1 6.520 7.000 3.089 3.000 3.657 3.000 103020 5 False 6 7.200 1 40.890 1 103021 1010 101010 -55 -33
1 3 3 FI 251.150 435.005 1 6 334.895 386.655 334.829 483.341 251.171 531.641 167.405 483.355 167.471 386.668 251.129 338.368 334.895 386.655 1 0 5.580 6.000 2.660 3.000 3.022 3.000 103030 100 False 6 7.200 0 60.000 1 103031 1020 101020 -55 -33
1 3 4 FI 167.426 579.991 1 6 251.171 531.641 251.155 628.414 167.497 676.714 83.682 628.341 83.747 531.655 167.405 483.355 251.171 531.641 1 0 4.454 5.000 2.187 2.000 2.319 2.000 103040 102 False 6 7.200 0 73.898 1 103041 1020 101020 -55 -33
1 3 5 FI 83.753 725.064 1 6 167.497 676.714 167.432 773.400 83.687 821.750 0.008 773.414 -0.063 676.691 83.682 628.341 167.497 676.714 1 0 3.386 4.000 1.720 2.000 1.776 2.000 103050 102 False 6 7.200 0 83.411 1 103051 1020 101020 -55 -33
1 3 6 FM 0.029 870.050 2 6 83.687 821.750 83.708 918.386 -0.037 966.736 -83.716 918.400 -83.737 821.764 0.008 773.414 83.687 821.750 1 1 2.862 3.000 1.105 2.000 1.088 1.000 103060 109 False 3 3.600 1 89.998 0 103060 1030 101030 -55 -33
1 3 7 FM -83.695 1015.036 2 6 -0.037 966.736 -0.016 1063.373 -83.760 1111.723 -167.439 1063.386 -167.460 966.750 -83.716 918.400 -0.037 966.736 1 1 2.211 3.000 0.868 1.000 0.845 1.000 103070 109 True 3 3.600 1 94.714 0 103070 1030 101030 -55 -33
1 3 8 FM -167.418 1160.023 2 6 -83.760 1111.723 -83.739 1208.359 -167.484 1256.709 -251.163 1208.373 -251.184 1111.736 -167.439 1063.386 -83.760 1111.723 1 1 1.865 2.000 0.743 1.000 0.724 1.000 103080 109 False 3 3.600 1 98.212 0 103080 1030 101030 -55 -33
1 3 9 FO -251.142 1305.009 2 6 -167.484 1256.709 -167.413 1353.432 -251.158 1401.782 -334.887 1353.359 -334.908 1256.723 -251.163 1208.373 -167.484 1256.709 1 1 1.651 2.000 0.607 1.000 0.601 1.000 103090 109 False 3 3.600 1 100.893 0 103090 1030 101030 -55 -33
1 3 10 aOe -334.902 1450.132 2 4 -251.137 1498.418 -418.631 1401.709 -334.887 1353.359 -251.158 1401.782 -251.137 1498.418 0.000 0.000 0.000 0.000 1 1 0.798 1.000 0.317 1.000 0.317 1.000 103100 109 False 3 3.600 1 103.004 0 103100 1030 101030 -55 -33
